id,nomeComune,nomeScientifico,ordine,famiglia,genere,tipo,Diffusione,Quota,Fogliazione,tagMargine,tagDisposizione,tagCorteccia,tagFrutto,descrizioneFoglia,descrizioneCorteccia,descrizioneFrutto,descrizioneChioma,descrizioneDettaglioFoglia
ailanto,Albero del paradiso (Ailanto),Ailanthus altissima,Sapindales,Simaroubaceae,Ailanthus,Latifoglia,Italia,"Pianura, Collina",Decidua,intero,alterne,liscia,samara,"Foglie alterne, enormi (fino a 90 cm), composte imparipennate con 11-25 foglioline lanceolate a margine intero, dotate di 2-4 denti ghiandolari fetidi alla base.","Corteccia grigio-chiara o verdastra, lungamente liscia, segnata da sottili striature longitudinali chiare che formano un reticolo accennato.","Samara allungata e ritorta, provvista di un'ala membranosa rossastra o gialla con il seme posto esattamente al centro.","Chioma aperta, rada e molto espansa, dall'aspetto esotico, sorretta da rami grossi, robusti e poco ramificati all'estremità. Forma slanciata, spesso a ombrello.","Foglie composte imparipennate, lunghe fino a 90 cm, con 11-25 foglioline lanceolate, lunghe 7-15 cm, a margine intero. Pagina superiore verde scuro lucido, inferiore più chiara con peli nella pagina inferiore. Ogni fogliolina presenta 2-4 denti ghiandolari fetidi alla base. Rachide robusto, picciolo lungo 5-10 cm."
albero_giuda,Albero di Giuda (Siliquastro),Cercis siliquastrum,Fabales,Fabaceae,Cercis,Latifoglia,"Centro, Sud, Sicilia, Sardegna",Collina,Decidua,intero,alterne,fessurata,capsula,"Foglie alterne, semplici, inconfondibili per la forma perfettamente circolare o reniforme (a cuore rovesciato), con margine intero e glabre.","Corteccia grigio-nerastra o bruna, inizialmente liscia, che si fessura longitudinalmente in piccole placche stabili con l'età .","Il frutto è un legume (baccello) piatto, allungato, di colore rossastro o bruno-violaceo, che pende in fitti grappoli persistenti in inverno.","Chioma globosa, espansa e irregolare, spesso policormica. Famoso per la caulifloria: i fiori rosa-carminio crescono direttamente sul tronco e sui rami nudi.","Foglie semplici, alternate, perfettamente circolari o reniformi (a cuore rovesciato), lunghe 6-12 cm, con margine intero e apice ottuso. Pagina superiore verde glauco, inferiore più chiara, glabre su entrambe le facce. Nervature palmato-reticolate con 5-7 nervature principali. Picciolo lungo 3-5 cm, sottile."
albicocco,Albicocco,Prunus armeniaca,Rosales,Rosaceae,Prunus,Latifoglia,Italia,"Pianura, Collina",Decidua,seghettato,alterne,fessurata,capsula,"Foglie alterne, cuoriformi o ovato-arrotondate con base subcordata e apice appuntito. Margine finemente seghettato e picciolo rossastro.","Corteccia bruno-rossastra o nerastra, fessurata longitudinalmente e scagliosa negli esemplari adulti, rugosa al tatto.","Drupa globosa o ovoidale (albicocca) vellutata, di colore giallo-arancione, spesso sfumata di rosso, con polpa dolce e nocciolo liscio.","Chioma globosa, ombrelliforme ed espansa, con rami spesso contorti, divergenti e leggermente intricati.","Foglie semplici, alterne, cuoriformi o ovato-arrotondate, lunghe 5-10 cm, con base subcordata e apice acuminato. Margine finemente seghettato, pagina superiore verde scuro, inferiore più chiara. Nervature pennate ben evidenti. Picciolo lungo 2-4 cm, rossastro, spesso con ghiandole nettarifere."
alloro,Alloro,Laurus nobilis,Laurales,Lauraceae,Laurus,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Collina, Mare",Sempreverde,intero,alterne,liscia,capsula,"Foglie alterne, persistenti, coriacee, lanceolate o ellittiche, con margine intero leggermente ondulato, di colore verde scuro lucido. Se sfregate emanano un profumo aromatico intenso.","Corteccia grigio-scura o nerastra, liscia da giovane, che col tempo si fessura longitudinalmente in sottili placche.","Piccola bacca globosa di colore nero-violaceo a maturità , contenente un unico seme.","Chioma densa, conico-piramidale o globosa, molto ramificata fin dalla base. Tipico dei boschi termofili e della macchia mediterranea.","Foglie persistenti, coriacee, lanceolate o ellittiche, lunghe 5-12 cm, larghe 2-4 cm, con margine intero leggermente ondulato. Pagina superiore verde scuro lucido, inferiore più chiara, glabre su entrambe le facce. Nervatura pennata con nervature secondarie evidenti. Picciolo corto, spesso arrossato. Fortemente aromatiche."
bagolaro,Bagolaro (Spaccasassi),Celtis australis,Rosales,Cannabaceae,Celtis,Latifoglia,Italia,"Pianura, Collina",Decidua,seghettato,alterne,liscia,capsula,"Foglie alterne, ovato-lanceolate, con apice lungamente acuminato e base asimmetrica. Margine vistosamente seghettato, pagina superiore molto ruvida al tatto.","Corteccia grigio-cenere, compatta, densa e completamente liscia, che non si fessura mai, interrotta solo da piccole protuberanze o costoloni alla base.","Piccola drupa globosa (pallina) carnosa, portata da un lungo peduncolo, che vira dal verde al giallo e infine al nero-violaceo a maturità .","Chioma molto ampia, fitta, globosa ed espansa, sorretta da grandi rami robusti e sinuosi. Apparato radicale potentissimo in grado di spaccare le rocce.","Foglie semplici, alterne, ovato-lanceolate, lunghe 5-10 cm, larghe 3-5 cm, con apice lungamente acuminato e base asimmetrica. Margine vistosamente seghettato, pagina superiore molto ruvida al tatto per presenza di peli rigidi, inferiore più liscia. Nervature pennate con 5-7 nervature secondarie. Picciolo corto, fino a 1 cm."
betulla,Betulla bianca,Betula pendula,Fagales,Betulaceae,Betula,Latifoglia,"Nord, Centro",Montagna,Decidua,seghettato,alterne,liscia,capsula,"Foglie romboidali o triangolari, con margine doppiamente seghettato, apice acuminato e base tronca o cuneata. Di colore verde brillante.","Corteccia bianca, liscia, che si accartoccia in strisce sottili orizzontali. Diventa fessurata e nera alla base con l'età .","Amenti cilindrici penduli, che rilasciano numerosi piccoli semi alati.","Chioma espansa, soprattutto in verticale, con tronco eretto e slanciato, rami primari ascendenti, ramuli sottili, i più giovani ricadenti e penduli a formare una corona rada e leggera. Altezza sino a 25-30 metri.","Foglie romboidali o triangolari, lunghe 3-7 cm, larghe 2-5 cm, con apice acuminato e base tronca o cuneata. Margine doppiamente seghettato, pagina superiore verde brillante, inferiore più chiara. Nervature pennate con 4-6 nervature secondarie. Picciolo sottile, lungo 1-2 cm, spesso rossastro."
betulla_pubescente,Betulla pubescente,Betula pubescens,Fagales,Betulaceae,Betula,Latifoglia,Nord,Montagna,Decidua,seghettato,alterne,liscia,capsula,"Foglie alterne, ovato-romboidali, con apice acuminato e margine doppiamente seghettato, di colore verde opaco, più chiare nella pagina inferiore.","Corteccia bianco-grigiastra, liscia e opaca, che si accartoccia in strisce sottili orizzontali, tendendo a fessurarsi solo alla base.","Amenti cilindrici penduli, che rilasciano numerosi piccoli semi alati.","Chioma espansa, conica o arrotondata, con rami eretti e rametti penduli. Più adatta ai climi freschi dell'Appennino rispetto alla betulla bianca.","Foglie semplici, alterne, ovato-romboidali, lunghe 3-6 cm, larghe 2-5 cm, con apice acuminato e base tronca o arrotondata. Margine doppiamente seghettato, pagina superiore verde opaco, inferiore più chiara e spesso pubescente. Nervature pennate con 4-7 nervature secondarie. Picciolo corto, fino a 1,5 cm."
broussonetia,Broussonetia,Broussonetia papyrifera,Rosales,Moraceae,Broussonetia,Latifoglia,Italia,Pianura,Decidua,seghettato,alterne,fessurata,capsula,"Foglie alterne, molto variabili nella forma (da intere a profondamente lobate), cuoriformi o ovali, con margine seghettato e pagina superiore ruvida, simile a quelle del gelso.","Corteccia grigio-brunastra, liscia da giovane, che col tempo si fessura longitudinalmente in costoloni spessi e sugherosi.","Infruttescenza carnosa globosa di colore rosso-arancio a maturità , composta da piccoli frutti aggregati.","Chioma ampia, espansa e irregolare, con rami robusti e portamento esotico. Usato per la fabbricazione della carta in Oriente.","Foglie semplici, alterne, molto variabili nella forma: da intere a profondamente lobate (fino a 3-5 lobi), cuoriformi o ovali, lunghe 8-15 cm, larghe 5-10 cm. Margine seghettato, pagina superiore ruvida al tatto, inferiore pubescente. Nervature pennate con 3-5 nervature principali. Picciolo lungo 2-5 cm, spesso pubescente."
carpinella,Carpinella,Carpinus orientalis,Fagales,Betulaceae,Carpinus,Latifoglia,"Centro, Sud",Collina,Decidua,seghettato,alterne,liscia,capsula,"Foglie alterne, piccole, ovate o ellittiche, con apice acuminato e margine doppiamente seghettato. Pagina superiore verde scuro, inferiore più chiara e pubescente.","Corteccia grigio-cenere, liscia e sottile, con leggere striature longitudinali, simile a quella del carpino bianco ma più fine.","Piccola noce (achenio) avvolta in una brattea trilobata, simili a quelle del carpino bianco ma più piccole, riunite in amenti penduli.","Chioma fitta, espansa e irregolare, con rami sottili e flessuosi. Portamento arbustivo o di piccolo albero, tipico delle zone aride e rocciose.","Foglie semplici, alterne, piccole, ovate o ellittiche, lunghe 3-6 cm, larghe 2-4 cm, con apice acuminato e base arrotondata. Margine doppiamente seghettato. Pagina superiore verde scuro, inferiore più chiara e pubescente lungo le nervature. Nervature pennate con 8-12 paia di nervature secondarie. Picciolo corto, fino a 0,5 cm."
carpino_bianco,Carpino bianco,Carpinus betulus,Fagales,Betulaceae,Carpinus,Latifoglia,"Nord, Centro","Collina, Montagna",Decidua,seghettato,alterne,liscia,capsula,"Foglie alterne, ovato-oblunghe con nervature parallele molto evidenti e infossate. Il margine è fittamente e doppiamente seghettato. La lamina è regolare e assume una colorazione gialla in autunno.","Corteccia liscia, sottile, di colore grigio-cenerino. Caratterizzata da caratteristici costoloni longitudinali sinuosi e intrecciati che ricordano dei fasci muscolari tesi sotto la pelle.",Piccola noce (achenio) parzialmente avvolta e protetta da una caratteristica fogliolina a tre lobi (brattea trilobata) che funge da ala per favorire la dispersione con il vento.,"Chioma densa, inizialmente conico-piramidale, poi globosa ed espansa, molto ramificata. I rami secondari sono flessibili e fogliosi, di colore verde brillante.","Foglie semplici, alterne, ovato-oblunghe, lunghe 5-10 cm, larghe 3-5 cm, con apice acuminato e base arrotondata. Margine fittamente e doppiamente seghettato. Nervature parallele molto evidenti e infossate sulla pagina superiore, con 10-15 paia di nervature secondarie. Picciolo corto, fino a 1 cm."
carpino_nero,Carpino nero,Ostrya carpinifolia,Fagales,Betulaceae,Ostrya,Latifoglia,Italia,"Collina, Montagna",Decidua,seghettato,alterne,fessurata,pigna,"Foglie alterne, ovato-lanceolate con apice acuto, molto simili a quelle del carpino bianco ma con nervature secondarie spesso forcute all'estremità  e margine doppiamente seghettato.","Corteccia inizialmente grigio-bruna e liscia, che diventa precocemente scura (quasi nerastra), ruvida, fessurata e desquamata in placche rettangolari verticali stabili.","Infruttescenze pendule molto caratteristiche che ricordano dei piccoli coni o pigne allungate (simili anche al luppolo), formate da sacchetti membranosi biancastri che racchiudono i semi.","Chioma abbastanza densa, espansa e arrotondata, irregolare negli esemplari spontanei. Portamento arboreo slanciato, tipico dei boschi collinari e delle scarpate calcaree.","Foglie semplici, alterne, ovato-lanceolate, lunghe 5-10 cm, larghe 3-5 cm, con apice acuminato e base arrotondata o subcordata. Margine doppiamente seghettato. Nervature pennate con 10-15 paia di nervature secondarie, spesso forcute all'estremità . Picciolo corto, fino a 1 cm, pubescente."
carrubo,Carrubo,Ceratonia siliqua,Fabales,Fabaceae,Ceratonia,Latifoglia,"Sud, Sicilia, Sardegna","Collina, Mare",Sempreverde,intero,alterne,fessurata,capsula,"Foglie alterne, persistenti (sempreverdi), coriacee, composte paripennate con 4-10 foglioline obovate a margine intero, di colore verde scuro lucido.","Corteccia grigio-marrone o nerastra, abbastanza liscia nei giovani rami, fessurata e rugosa a piccole placche sul tronco degli alberi adulti.","Legume gigante (carruba) piatto, allungato (10-20 cm), spesso e coriaceo, marrone scuro, contenente una polpa dolciastra e semi durissimi.","Chioma imponente, espansa, globosa e molto densa, sorretta da un tronco robusto, spesso contorto e ramificato a bassa altezza. Tipico del Sud.","Foglie composte paripennate, persistenti, coriacee, lunghe 10-20 cm, con 4-10 foglioline obovate, lunghe 3-6 cm, larghe 2-3 cm, a margine intero. Foglioline coriacee, verde scuro lucido sulla pagina superiore, più chiare inferiormente. Nervatura pennata con nervature secondarie appena visibili. Picciolo robusto, lungo 2-5 cm."
castagno,Castagno,Castanea sativa,Fagales,Fagaceae,Castanea,Latifoglia,Italia,"Collina, Montagna",Decidua,seghettato,alterne,fessurata,riccio,"Foglie semplici, oblungo-lanceolate con denti acuti e pungenti. Pagina superiore verde scuro lucido, inferiore più chiara. Nervature parallele e ben evidenti.","Corteccia grigio-bruna, inizialmente liscia, che con l'età  si fessura longitudinalmente in profondi solchi spirali, assumendo un aspetto reticolato e ruvido.","Riccio spinoso contenente castagne. Il riccio è verde e spinoso, si apre a maturità  liberando 2-3 castagne lucide.","Il tronco è normalmente dritto e se isolato si diparte presto in grosse branche, dando alla chioma un aspetto ampio e tondeggiante.","Foglie semplici, alterne, oblungo-lanceolate, lunghe 10-20 cm, larghe 4-8 cm, con apice acuminato e base cuneata. Margine con denti acuti e pungenti. Pagina superiore verde scuro lucido, inferiore più chiara e pubescente. Nervature pennate con 12-20 paia di nervature secondarie evidenti. Picciolo corto, fino a 1 cm."
cedro_atlante,Cedro dell'Atlante,Cedrus atlantica,Pinales,Pinaceae,Cedrus,Conifera,Italia,"Collina, Montagna",Sempreverde,intero,coppie,fessurata,pigna,"Foglie aghiformi, lunghe 2-3 cm, riunite in ciuffi densi sui brachiblasti, di colore verde glauco o azzurrognolo (nelle varietà glauca).","Corteccia grigio-scura, spessa, profondamente fessurata in placche rugose e squamose.","Strobilo (pigna) eretto, cilindrico, con apice arrotondato o depresso. Si disarticola a maturità lasciando l'asse centrale nudo.","Chioma conico-piramidale da giovane, che diventa tabulare e monumentale negli esemplari adulti, con rami orizzontali e rametti penduli.","Aghi lunghi 2-3 cm, riuniti in ciuffi di 20-40 sui brachiblasti. Colore verde glauco o azzurrognolo, sezione trasversale quadrangolare. Apice acuminato."
cedro_himalaya,Cedro dell'Himalaya,Cedrus deodara,Pinales,Pinaceae,Cedrus,Conifera,Italia,Collina,Sempreverde,intero,coppie,fessurata,pigna,"Foglie aghiformi, lunghe 3-5 cm, più lunghe e flessibili rispetto agli altri cedri, riunite in ciuffi densi sui brachiblasti, di colore verde glauco.","Corteccia grigio-scura, liscia da giovane, che si fessura longitudinalmente in placche spesse e rugose negli esemplari maturi.","Strobilo (pigna) eretto, conoide, con apice arrotondato. Si disarticola a maturità lasciando l'asse centrale nudo.","Chioma conico-piramidale da giovane, che diventa tabulare (a palchi orizzontali stratificati) negli esemplari adulti, con rami e rametti penduli all'estremità.","Aghi lunghi 3-5 cm, riuniti in ciuffi di 20-30 sui brachiblasti, più lunghi e flessibili rispetto al cedro del Libano. Colore verde glauco, sezione trasversale quadrangolare. Apice acuminato."
cedro_libano,Cedro del Libano,Cedrus libani,Pinales,Pinaceae,Cedrus,Conifera,Italia,Collina,Sempreverde,intero,coppie,fessurata,pigna,"Foglie aghiformi brevi (2-3 cm), rigide, riunite in ciuffi densi (rosette) sui brachiblasti o singole sui macroblasti, di colore verde scuro.","Corteccia grigio-scura, inizialmente liscia, che si fessura longitudinalmente formando scaglie spesse e rugose negli esemplari maturi.","Strobilo (pigna) eretto, cilindrico-bauliforme, con apice appiattito o depresso. Si disarticola a maturità  lasciando l'asse centrale nudo.","Chioma imponente e monumentale, piramidale da giovane, che diventa tabulare (piatta a palchi orizzontali stratificati) negli esemplari adulti.","Aghi lunghi 2-3 cm, rigidi, riuniti in ciuffi densi di 20-40 aghi sui brachiblasti (rametti corti), o singoli sui macroblasti (rametti allungati). Colore verde scuro, sezione trasversale quadrangolare. Apice acuminato."
cerro,Cerro,Quercus cerris,Fagales,Fagaceae,Quercus,Latifoglia,Italia,"Collina, Montagna",Decidua,lobato,alterne,fessurata,ghianda,"Foglie alterne, coriacee, oblunghe, profondamente lobate con lobi triangolari e appuntiti. Pagina superiore ruvida, inferiore pubescente.","Corteccia grigio-scura, spessa e durissima, profondamente fessurata longitudinalmente, con l'interno dei solchi di colore rossastro.","Ghianda ovoidale protetta per metà  da una cupola caratteristica ricoperta da squame allungate, arricciate e pelose (ricce).","Chioma ampia, ovale o globosa, ben ramificata, con portamento slanciato ed elegante rispetto ad altre querce.","Foglie semplici, alterne, oblunghe, lunghe 8-15 cm, larghe 3-6 cm, con 5-8 paia di lobi triangolari e appuntiti. Margine intero o leggermente dentato. Pagina superiore verde scuro e ruvida, inferiore pubescente e più chiara. Nervature pennate con 7-10 paia di nervature secondarie. Picciolo corto, fino a 1,5 cm."
ciavardello,Ciavardello,Sorbus torminalis,Rosales,Rosaceae,Sorbus,Latifoglia,Italia,"Collina, Montagna",Decidua,lobato,alterne,fessurata,capsula,"Foglie alterne, ovate, palmatilobate con 3-5 lobi acuminati e margine seghettato, simili a quelle dell'acero ma di dimensioni minori.","Corteccia grigio-bruna, liscia da giovane, che si fessura longitudinalmente in placche sottili e scagliose.","Piccola drupa globosa, di colore bruno-giallastro con piccole lenticelle, contenente due semi.","Chioma ampia, arrotondata e fitta, con tronco diritto e rami ascendenti. Legno pregiato per ebanisteria.","Foglie semplici, alterne, ovate, lunghe 5-10 cm, larghe 4-7 cm, con 3-5 lobi acuminati e margine seghettato. Simili a quelle dell'acero ma più piccole e con picciolo più corto. Pagina superiore verde scuro, inferiore più chiara e pubescente. Nervature pennate con 5-7 paia di nervature secondarie. Picciolo lungo 2-4 cm."
ciliegio,Ciliegio selvatico,Prunus avium,Rosales,Rosaceae,Prunus,Latifoglia,Italia,"Collina, Montagna",Decidua,seghettato,alterne,liscia,capsula,"Foglie alterne, ovato-lanceolate, con margine seghettato e due caratteristiche ghiandole rosse sul picciolo vicino alla base della lamina.","Corteccia lucida, grigio-rossastra o bruna, caratterizzata da evidenti lenticelle orizzontali. Tende a sfogliarsi in strisce trasversali.","Drupa globosa (ciliegia) lungamente picciolata, con polpa carnosa, dolce o acida, di colore rosso scuro o giallastro a maturità .","Chioma inizialmente conico-piramidale, poi espansa e rotondeggiante, con rami principali vigorosi e diretti verso l'alto.","Foglie semplici, alterne, ovato-lanceolate, lunghe 8-15 cm, larghe 3-6 cm, con apice acuminato e base arrotondata. Margine seghettato, pagina superiore verde scuro, inferiore più chiara e glabra. Nervature pennate con 6-9 paia di nervature secondarie. Picciolo lungo 2-4 cm, con due ghiandole nettarifere rosse alla base della lamina."
cipresso,Cipresso comune,Cupressus sempervirens,Cupressales,Cupressaceae,Cupressus,Conifera,Italia,"Collina, Mare",Sempreverde,intero,opposte,fessurata,pigna,"Foglie ridotte a piccolissime squame geometriche adagiate e sovrapposte sul rametto a mo' di tegola, strettamente appressate, verde scuro. NB: specie eterofilla, le foglioline giovanili sono aghiformi e divaricate, mentre nella pianta adulta diventano piccole squame embricate.","Corteccia grigio-bruna, sottile, fittamente fessurata in senso longitudinale con costoloni fibrosi paralleli e stabili.","Cono legnoso sferico chiamato galbulo (o coccola), composto da scudetti geometrici che si separano a maturità  per liberare i semi.","Chioma tipicamente colonnare, stretta, eretta e appuntita (nella varietà  fastigiata) o espansa (varietà  horizontalis). Ramificazione fittissima.","Foglie squamiformi, opposte e decussate, lunghe 1-2 mm, adagiate e strettamente appressate al rametto. Colore verde scuro, con ghiandola resinosa sulla pagina esterna. Margine intero, apice ottuso."
